ko,name,description,disease_category
"H02305","RERE-related neurodevelopmental syndrome","RERE-related neurodevelopmental syndrome, also known as neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (NEDBEH), is a rare autosomal dominant disorder. Patients with intellectual disability, developmental delay, and autism spectrum disorder who carry mutations in RERE have been described. RERE is a widely-expressed nuclear receptor coregulator that positively regulates retinoic acid signaling.","Mental and behavioural disorder"
"H02137","Laurence-Moon syndrome","Laurence-Moon syndrome is caused by mutations in the PNPLA6 gene, encoding neuropathy target esterase (NTE). It is characterised by chorioretinopathy, pituitary dysfunction, childhood onset of ataxia, and spastic paraplegia. Polydactyly and renal disease are absent. So it is distinct from Bardet-Biedl syndrome.","Nervous system disease"
"H00660","Congenital contractural arachnodactyly","Congenital contractural arachnodactyly (CCA) or Beals syndrome is an autosomal dominant disorder characterized by a Marfan-like appearance and arachnodactyly. Most affected individuals have 'crumpled' ears, contractures of major joints, and camptodactyly. Additional features include muscular hypoplasia and scoliosis. In contrast to Marfan syndrome, CCA does not affect the aorta or the eyes.","Congenital malformation"
"H01574","Familial idiopathic basal ganglia calcification","Familial idiopathic basal ganglia calcification, also known as Fahr disease, is an inherited neurological disorder characterized by symmetrical calcification of cerebral structures lacking known metabolic causes such as calcium or phosphorus homeostasis disorders. Currently, autosomal dominant and recessive causative genes have been identified.","Nervous system disease"
"H00694","Dent disease","Dent disease is a renal tubular disorder characterized by manifestations of proximal tubule dysfunction, including low-molecular-weight proteinuria, hypercalciuria, nephrolithiasis, nephrocalcinosis, and progressive renal failure. The disease is caused by mutations in either the CLCN5 or OCRL1 genes. CLCN5 encodes a member of the ClC family of chloride ion channels and ion transporters. OCRL1 encodes a phosphatidylinositol bisphosphate (PIP2) 5-phosphatase and mutations are also associated with Lowe Syndrome.","Urinary system disease"
"H01746","STING-associated vasculopathy with onset in infancy","STING (stimulator of interferon genes)-associated basculopathy with onset in infancy (SAVI) is a rare hereditary autoinflammatory disorder caused by gain-of-function mutations in TMEM173, the gene encoding the STING protein. It is considered that the mutations in the TMEM173 gene confer constitutive activation of STING and hypersensitivity to ligand stimulation, resulting in chronic activation of the STING-interferon pathway. Patients with SAVI have severe neonatal-onset small vessel vasculitis, which is expressed by telangiectatic ulcerative rashes in the limbs, earlobes, or nose, leading to microangiopathic thrombosis, vessel occlusion, and even risk of gangrene. Some SAVI patients may present chronic interstitial lung disease, which can be severe and lethal.","Immune system disease"
"H01322","Kyasanur Forest disease","Kyasanur Forest disease is a viral hemorrhagic fever caused by Kyasanur Forest disease (KFDV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Ixodoidea ticks. KFDV was first isolated 1957 in India.","Infectious disease"
"H01110","Pneumothorax","Pneumothorax is defined as air or gas accumulated in the pleural space and can be classified as spontaneous or traumatic. Traumatic pneumothorax includes iatrogenic cases caused during procedures such as pacemaker insertion. Spontaneous pneumothorax can be subclassified as primary or secondary. Primary spontaneous pneumothorax (PSP), which is defined as a pneumothorax without underlying lung disease, predominantly occurs in young, thin males. It is usually caused by ruptured pleural blebs or bullae. Approximately 10% of patients with PSP have a positive family history. Gene mutations in folliculin (FLCN) have been found.","Respiratory disease"
"H01914","Christianson syndrome","Christianson syndrome (CS) is a rare, X-linked mental retardation syndrome, caused by mutations in SLC9A6. CS is characterized by severe intellectual disability, microcephaly, epilepsy, ataxia, and absent speech. The clinical phenotype of CS mimics Angelman syndrome and CS was initially called X-linked Angelman-like syndrome.","Congenital malformation"
"H01128","Reticular dysgenesis","Reticular dysgenesis (RD) is a rare congenital immunodeficiency classified within the severe combined immunodeficiencies (SCIDs). It is inherited in an autosomal recessive manner, and is characterized by absence of granulocytes and almost complete deficiency of lymphocytes in peripheral blood, hypoplasia of the thymus and secondary lymphoid organs, and lack of innate and adaptive humoral and cellular immune functions, leading to fatal septicemia within days after birth. The bone marrow showed a maturation arrest in the myeloid and lymphoid lineage. The underlying genetic defect for most cases of RD have been identified in the gene encoding adenylate kinase 2 (AK2).","Immune system disease"
"H00832","Core neuroacanthocytosis syndromes","Neuroacanthocytosis (NA) syndromes are a heterogeneous group of diseases in which nervous system abnormalities coincide with red blood cell acanthocytosis. Core NA syndromes are one of the broad groups of NA disorders characterized by degeneration of the basal ganglia, movement disorders, cognitive impairment, and psychiatric features. NA syndromes are caused by disease-specific genetic mutations. The mechanism by which these mutations cause neurodegeneration is not known.","Nervous system disease"
"H00658","Syndromic X-linked mental retardation","X-linked mental retardation (MRX) is an inherited condition that causes failure to develop cognitive abilities because of mutations in several genes on the X chromosome. XLMR is subdivided into syndromic and non-syndromic forms, depending on whether further abnormalities are found or not. Syndromic XLMR is characterized by recognizable dysmorphic features, neurological complications, and/or metabolic abnormalities.","Mental and behavioural disorder"
"H01117","Chronic recurrent multifocal osteomyelitis","Chronic recurrent multifocal osteomyelitis (CRMO), also known as Majeed syndrome, is a rare, autosomal recessive autoinflammatory disorder consisting of chronic recurrent multifocal osteomyelitis, congenital dyserythropoietic anemia, and neutrophilic dermatosis. It has been reported that mutations in LPIN2 are responsible for this syndrome.","Inherited metabolic disease; Immune system disease"
"H01325","Actinomycosis","Actinomycosis is an uncommon chronic granulomatous infection caused by several members of the order Actinomycetales, most notably, Actinomyces israelii. Additional species that are established but less common causes of actinomycosis include A. naeslundii/viscosus complex, A. odontolyticus, A. meyeri and A. gerencseriae.","Infectious disease"
"H00693","Ichthyosis bullosa of Siemens","Ichthyosis Bullosa of Siemens (IBS) is an autosomal dominant disorder characterized by mild hyperkeratosis and blister formation. The blistering is superficial, and areas of peeling of the skin are known as the 'Mauserung phenomenon'. IBS shows similar features to those in epidermolytic hyperkeratosis, but can be distinguished by the absence of erythema.","Congenital malformation"
"H01741","Autoinflammation lipodystrophy and dermatosis syndrome","Autoinflammation lipodystrophy and dermatosis syndrome (ALDD) is a systemic inflammatory condition characterized by recurrent episodes of fever, cutaneous lesions, lipodystrophy, and visceral inflammatory manifestations. In 2011, several studies showed that a number of disorders referred to as joint contractures, muscle atrophy, microcytic anemia, and panniculitis-induced lipodystrophy (JMP) syndrome, Nakajo-Nishimura syndrome, Japanese autoinflammatory syndrome with lipodystrophy (JASL), and chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature (CANDLE) syndrome are caused by mutations in proteasome subunit beta type 8 (PSMB8) gene, indicating that these disorders are disease phenotypes along the same disease spectrum. Key symptoms include a persistent fever (higher than 38.5 degrees Celsius), steroid-sensitive erythema nodosum-like (edematous and purpuric) plaques, long clubbed fingers, hyperhidrosis, myositis, hepatosplenomegaly, macroglossia, facial and limbs lipoatrophy, and developmental (height, weight, and IQ) retardation. Skin biopsies show immature myeloid-lineage cells with mitoses. Some patients may have joint contracture, auricular and nasal chondritis, and calcification of the basal ganglia. Acute cardiovascular event is the leading cause of death in these patients for whom life expectancy is notably reduced. Management of these patients is by palliative care. The need for steroids is very high even in combination with anti IL-1, anti IL-6 or anti-TNF treatments.","Immune system disease"
"H01573","Zimmermann-Laband syndrome","Zimmermann-Laband syndrome (ZLS) is a rare craniofacial malformation syndrome with predominant intraoral involvement consisting in diffuse gingival fibromatosis of early onset. Most cases are sporadic, suggesting autosomal dominant inheritance with de novo mutations. The main clinical characteristics of ZLS are gingival enlargement, prominent nose and thick ears with soft cartilages, nail aplasia or hypoplasia, hypertrichosis, joint hyperextensibility, hepato(spleno)megaly, and intellectual disability with or without epilepsy. Mutations in KCNH1 and ATP6V1B2 account for a proportion of ZLS.","Congenital malformation"
"H02130","Mucolipidosis III","Mucolipidosis type III (MLIII), or pseudo-Hurler polydystrophy, is an autosomal recessive disorder affecting lysosomal hydrolase trafficking. The clinical phenotype is variable, and some MLIII patients survive to adulthood. MLIII is caused by the deficiency of GlcNac-1-phosphotransferase, that is exists as a heterohexamer comprising three subunits, alpha, beta, and gamma. It is encoded by two distinct genes, GNPTAB and GNPTAG.","Congenital disorder of metabolism"
"H00667","Woolly hair","Woolly hair (WH) is a group of hair shaft dystrophies characterized by fine and tightly curled hair. WH is inherited in either autosomal dominant and autosomal recessive manner. Autosomal recessive woolly hair can also show varying degrees of sparse hair or hypotrichosis (HYPT).","Congenital malformation"
"H00455","Spinal muscular atrophy","Spinal muscular atrophy (SMA) is a neuromuscular disease characterized by degeneration of motor neurons, resulting in progressive muscle atrophy and paralysis. The most common form of SMA is caused by mutations of the SMN gene, that encodes the SMN protein, which regulates snRNP assembly. Four types of SMA are recognized depending on the age of onset and the severity of the disease: type I (Werdning-Hoffman), type II (intermediate), type III (Kugeleberg-Welander) and type IV (adult form). Other forms of spinal muscular atrophy are caused by mutation of other genes, some known and others not yet defined.","Neurodegenerative disease"
"H01587","Disseminated intravascular coagulation","Disseminated intravascular coagulation (DIC) is an acquired syndrome characterised by the intravascular activation of coagulation with loss of localisation arising from different causes. It can originate from and cause damage to the microvasculature, which if sufficiently severe, can produce organ dysfunction. DIC is not a disease entity on itself but is always associated to an underlying disease. The clinical conditions that may be associated with DIC include sepsis, trauma, malignancy, liver disease, obstetric disorders, envenomation, vascular anomalies, and major transfusion reactions. A diagnosis of DIC should be made only in the presence of a clinical condition (causative factor) supported by repeated laboratory tests for coagulation profile and clotting factors. Treatment of DIC is aimed at combating the underlying disorder followed by supportive management.","Hematologic disease"
"H02302","Hepatoblastoma","Although malignant tumors of the liver are rare during childhood, hepatoblastoma is the most common liver cancer in children, usually diagnosed during the first 3 years of life. These tumors are thought to arise from hepatic progenitors or hepatoblasts. The most frequent genetic aberrations (70-90%) in hepatoblastoma occur in genes involved in the Wnt signaling pathway. The Wnt signaling pathway is activated often by acquired activating mutations of the beta-catenin (CTNNB1) gene, and less commonly through constitutional mutations of the APC gene or somatic mutations of other genes in the pathway.","Cancer"
"H00031","Breast cancer","Breast cancer is the leading cause of cancer death among women worldwide. The vast majority of breast cancers are carcinomas that originate from cells lining the milk-forming ducts of the mammary gland. The molecular subtypes of breast cancer, which are based on the presence or absence of hormone receptors (estrogen and progesterone subtypes) and human epidermal growth factor receptor-2 (HER2), include: hormone receptor positive and HER2 negative (luminal A subtype), hormone receptor positive and HER2 positive (luminal B subtype), hormone receptor negative and HER2 positive (HER2 positive), and hormone receptor negative and HER2 negative (basal-like or triple-negative breast cancers (TNBCs)). Hormone receptor positive breast cancers are largely driven by the estrogen/ER pathway. In HER2 positive breast tumours, HER2 activates the PI3K/AKT and the RAS/RAF/MAPK pathways, and stimulate cell growth, survival and differentiation. In patients suffering from TNBC, the deregulation of various signalling pathways (Notch and Wnt/beta-catenin), EGFR protein have been confirmed. In the case of breast cancer only 8% of all cancers are hereditary, a phenomenon linked to genetic changes in BRCA1 or BRCA2. Somatic mutations in only three genes (TP53, PIK3CA and GATA3) occurred at >10% incidence across all breast cancers.","Cancer"
"H00203","Acatalasemia","Acatalasia is an autosomal recessive peroxisomal disorder caused by deficiency of erythrocyte catalase that metabolizes both hydrogen peroxide and a variety of substrates such as ethanol, methanol, phenol and nitrites. Catalase has an important protective function against the toxic effects of peroxides generated in peroxisomes and removes them with high efficiency. The Japanese, Swiss, and Hungarian types of acatalasemia display differences in biochemical and genetic aspects. Takahara's disease shows progressive oral gangrene and formerly occurred in about half of Japanese acatalasemia patients.","Congenital disorder of metabolism"
"H01922","Infantile hypotonia with psychomotor retardation and characteristic facies","Infantile hypotonia with psychomotor retardation and characteristic facies (IHPRF) is an autosomal-recessive syndrome characterized by subtle facial dysmorphism, variable degrees of hypotonia, speech impairment, chronic constipation, and intellectual disability. It is caused by mutations in the cation channel NALCN and UNC80. NALCN has a role in basal sodium ion leak conductance in neurons, essential for neuronal function. UNC80 bridges between UNC79 and NALCN. Recently, pathogenic biallelic variants in TBC1-domain-containing kinase (TBCK) were also identified.","Congenital malformation"
"H01748","Autoinflammation with infantile enterocolitis","Autoinflammation with infantile enterocolitis (AIFEC) is a rare autosomal dominant disease characterized by neonatal-onset enterocolitis, periodic fever, and fatal/near-fatal episodes of autoinflammation. It was shown that the disease is caused by gain-of-function mutations in NLRC4. NLRC4 protein is known to directly assemble inflammasomes that activate IL-1beta and IL-18.","Immune system disease"
"H02139","Autosomal recessive hypophosphatemic rickets","Autosomal recessive hypophosphatemic rickets (ARHR) is a rare form of hypophosphatemic rickets that is caused by mutations in the DMP1 gene. DMP1 is highly expressed in mineralized tissues, especially in osteoblasts and osteocytes, and is a key regulatory protein that is required for the normal growth and development of bone, cartilage and dentin. Recently, ARHR associated with a mutation in the ENPP1 gene has also been reported.","Congenital disorder of metabolism"
"H00804","Multiple cutaneous and uterine leiomyomata","Multiple cutaneous and uterine leiomyomatosis (MCUL) is a rare autosomal dominant disorder that affects both sexes. It is characterized by benign skin tumors arising from the arrector pili muscle, and from uterine fibroids in female patients. Some patients with MCUL develop renal cancer and this condition is called hereditary leiomyomatosis and renal cell cancer.","Cancer"
"H00038","Melanoma","Melanoma is a form of skin cancer that has a poor prognosis and which is on the rise in Western populations. Melanoma arises from the malignant transformation of pigment-producing cells, melanocytes. The only known environmental risk factor is exposure to ultraviolet (UV) light and in people with fair skin the risk is greatly increased. Melanoma pathogenesis is also driven by genetic factors. Oncogenic NRAS mutations activate both effector pathways Raf-MEK-ERK and PI3K-Akt. The Raf-MEK-ERK pathway may also be activated via mutations in the BRAF gene. The PI3K-Akt pathway may be activated through loss or mutation of the inhibitory tumor suppressor gene PTEN. These mutations arise early during melanoma pathogenesis and are preserved throughout tumor progression. Melanoma development has been shown to be strongly associated with inactivation of the p16INK4a/cyclin dependent kinases 4 and 6/retinoblastoma protein (p16INK4a/CDK4,6/pRb) and p14ARF/human double minute 2/p53 (p14ARF/HMD2/p53) tumor suppressor pathways. MITF and TP53 are implicated in further melanoma progression.","Cancer"
"H01777","Schwartz-Jampel syndrome","Schwartz-Jampel syndrome (SJS) is a rare hereditary disorder with joint contractures, generalized myotonia, skeletal anomalies, and facial dysmorphism. Schwartz-Jampel syndrome (SJS) is a term now applied to 2 different autosomal recessive disorder, sometimes termed SJS type 1 and SJS type 2. SJS type 1 results from mutations in the HSPG2 gene, which encodes perlecan, a major component of basement membranes. It exhibits muscle stiffness, mild muscle weakness, and a number of minor morphological abnormalities. In affected patients, problems with motor development frequently become evident during the first year of life. SJS type 2, also known as Stuve-Wiedemann syndrome [DS:H00462], is a genetically distinct disorder with a more severe phenotype.","Nervous system disease; Musculoskeletal disease"
"H01545","O'nyong-nyong fever","O'nyong-nyong fever is an infectious disease caused by O'nyong-nyong virus (ONNV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Anopheles mosquitoes. ONNV was first isolated in 1959 in Uganda.","Infectious disease"
"H00497","Cherubism","Cherubism is an uncommon disorder of the jaws in childhood. The maxillary bones are replaced with pseudocystic osteolytic lesions, affecting dentition. Mutated SH3BP2, which can enhance BCR signaling, is involved in the pathogenesis of cherubism.","Digestive system disease"
"H01121","Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency","Succinyl-CoA:3-ketoacid CoA transferase (SCOT) deficiency is an inborn error of ketone body metabolism. SCOT/OXCT1 is a key mitochondrial enzyme in the metabolism of ketone bodies in various organs. Deficiency of SCOT activity inhibits peripheral ketone body utilization and causes episodes of severe ketoacidosis.","Inherited metabolic disease"
"H01313","Escherichia coli meningitis","Escherichia coli meningitis is a bacterial meningitis caused by Escherichia coli, and is common in the newborn within the first month of life (neonatal meningitis). Neonatal meningitis-associated Escherichia coli (NMEC) strains possessing the K1 capsular polysaccharide is a major cause of neonatal meningitis.","Infectious disease"
"H00007","Hodgkin lymphoma","Hodgkin's lymphoma (HL) is one of the most frequent lymphomas in the Western world and often affects young adults. HL is subdivided into classical and nodular lymphocyte-predominant forms. About 95% of cases are classical HL, and 5% are nodular lymphocyte-predominant HL (NLPHL). A characteristic feature of HL is the rareness of the tumor cells, which are called Hodgkin's and Reed/Sternberg (HRS) cells in classical HL and lymphocytic and histiocytic (L&H) cells in NLPHL. These cells represent only about 1% of the cellular infiltrate, while the vast majority of infiltrating cells are T lymphocytes, histiocytes, eosinophilic granulocytes and plasma cells. HRS cells show constitutive activity of both the classical and alternative NF-{kappa}B signalling pathways, which is probably a major pathogenetic mechanism in Hodgkin's lymphoma. The NF-{kappa}B activity in HRS cells is probably mediated by diverse mechanisms: receptor signalling through CD40, RANK, BCMA, and TACI, genomic REL amplification, destructive mutations in IKBA and IKBE. In HL pathogenesis associated with Epstein-Barr virus infection, the activation of NF-{kappa}B is induced by viral latent membrane protein 1 (LMP1).","Cancer"
"H00235","Methemoglobinemia","Hereditary methemoglobinemia is an autosomal recessive disorder characterized by NADH-cytochrome b5 reductase deficiency.","Hematologic disease"
"H01783","Ebstein anomaly","Ebstein anomaly is a rare congenital heart abnormality, characterized by downward displacement of the tricuspid valve into the right ventricle. Displacement and malformation of the tricuspid valve is accompanied by an enlarged right atrium and a dilated, thinned right ventricle. Ebstein anomaly can occur as a sporadic or a familial defect. It has been reported that deletion 1p36 and deletion 8p23.1 are the most frequent chromosomal structural changes associated with Ebstein anomaly.","Developmental disorder; Cardiovascular disease"
"H00651","Hypohidrotic ectodermal dysplasia","Hypohidrotic ectodermal dysplasia (HED) is a condition characterized by major involvement of ectodermal structures with perturbed formation and maturation of teeth, hair, and sweat glands. HED is caused by defective epithelial-mesenchymal interaction that involves the Ectodysplasin/Edar/Edaradd signaling pathway. Congenital anhidrotic ectodermal dysplasia is a sex-linked disorder characterized by incomplete development of the dermis, resulting in the absence of hair follicles and sweat glands with anodontia in affected males.","Congenital malformation"
"H02106","Genetic obesity","Obesity predisposes to many diseases. It has a very heterogeneous phenotypic expression and the molecular mechanisms involved in its development are diverse. Although environmental factors are important, genes also have a significant role in its pathogenesis. Several genes that are involved in monogenic, syndromic and polygenic obesity, have been identified.","Endocrine and metabolic disease"
"H02334","Pierpont syndrome","Pierpont syndrome is a rare disorder characterized by developmental delay, characteristic facial gestalt, hearing loss, and abnormal fat distribution in the distal limbs. Mutations in TBL1XR1 has been described recently in patients with this disease.","Congenital malformation"
"H00463","Currarino syndrome","Currarino syndrome is a condition characterized by the combination of sacral malformation, hindgut anomaly, and presacral mass. The HLXB9 gene is responsible for the symdrome.","Congenital malformation"
"H00803","Seizures-sensorineural deafness-ataxia-mental retardation-electrolyte imbalance (SESAME)","Seizures-sensorineural deafness-ataxia-mental retardation-electrolyte imbalance (SESAME) is a channelopathy characterized by seizures, sensorineural deafness, ataxia, intellectual deficit, and electrolyte imbalance. This disease links to autosomal recessive mutations in KCNJ10, which encodes the potassium channel.","Nervous system disease"
"H00669","Naxos disease","Naxos disease is characterized by cardiomyopathy, palmoplantar keratoderma, and woolly hair. Cardiac manifestation in patients with Naxos disease is arrhythmogenic right ventricular cardiomyopathy that appears by adolescence.","Congenital malformation"
"H01589","Systemic primary carnitine deficiency","Systemic primary carnitine deficiency is a rare autosomal recessive disorder characterized by cardiomyopathy, muscle weakness, hypoglycemic hypoketotic coma, and hyperammonemia. Carnitine plays essential roles in the transportation of long-chain fatty acids into the mitochondria for beta-oxidation. This disease is caused by mutations in SLC22A5 that encodes the high-affinity sodium-dependent carnitine transporter, organic cation transporter 2 (OCTN2). The hallmark of systemic primary carnitine deficiency is low concentrations of carnitine in plasma, with accumulation of lipid deposits and renal leakage of carnitine. The clinical symptoms are alleviated dramatically by oral administration of L-carnitine. However, if untreated, patients are precipitated into a crisis with cardiac arrest or Reye-like syndrome that includes acute encephalopathy and fatty degenerative liver failure.","Congenital disorder of metabolism"
"H01925","Transient neonatal zinc deficiency","Transient neonatal zinc deficiency (TNZD) is a disorder caused by loss-of-function mutations of the zinc transporter SLC30A2/ZnT2 gene, which results in low zinc breast milk in the mother, consequently causing zinc deficiency in the breast-fed infant. The main initial symptoms of zinc deficiency are dermatitis, diarrhea, alopecia, and loss of appetite. Currently, at least two zinc transporters from separate protein families are now known to be involved in the genetics of zinc deficiency. One is SLC39A4/ZIP4, which mutations can cause acrodermatitis enteropathica (AEZ) [DS:H00212] with autosomal recessive inheritance. The other one is SLC30A2/ZnT2, the transporter responsible for supplying human milk with zinc. Mutations in this transporter cause TNZD with symptoms similar to AE but with autosomal dominant inheritance. The two diseases can be distinguished in affected infants. AE is fatal if zinc is not supplied to the infant after weaning, whereas TNZD is a genetic defect of the mother limiting the supply of zinc in the milk, and therefore the infant usually will obtain enough zinc once weaned. Furthermore, the mothers' blood zinc levels are normal, and zinc supplementation to the mother's diet fails to improve the zinc levels in the breast milk.","Skin and connective tissue disease; Gastrointestinal disease"
"H01119","Prolidase deficiency","Prolidase deficiency (PD) is a severe autosomal recessive disorder due to the lack of prolidase (EC:3.4.13.9), a peptidase with a preference for Xaa-Pro dipeptide substrates that participates in collagen metabolism and in the terminal degradation of endogenous and dietary proteins. It typically begins in childhood and common symptoms include chronic intractable skin ulcerations and mental retardation. Mutations in prolidase gene causing the reduction or the loss of prolidase activity are responsible for PD.","Inherited metabolic disease"
"H02333","Laurin-Sandrow syndrome","Laurin-Sandrow syndrome (LSS) is a rare autosomal dominant disorder characterized by polysyndactyly of hands and/or feet, mirror image duplication of the feet, and nasal defects. It has been shown that small microduplications within the ZRS region are the underlying genetic cause of LSS. ZRS is highly conserved in all vertebrates with limb appendages and consists of an 800bp enhancer sequence located within intron 5 of LMBR1.","Congenital malformation"
"H00464","Nail-patella syndrome","Nail-patella syndrome is a condition caused by mutation in LMX1B that regulates COL4A4 and COL4A3 expression. The most common associated abnormality is nail dysplasia.","Congenital malformation"
"H01784","Primary hyperchylomicronemia","Primary hyperchylomicronemia is characterized by a marked hypertriglyceridemia due to the accumulation of chylomicron occurs in the circulation. The main clinical symptoms of this disorder are the huge increase in plasma trigriceride and cholesterol, and the presence of xanthomatous eruption, lipemia retinalis, hepatosplenomegaly, and the complication of acute pancreatitis. The genetic basis for primary hyperchylomicronemia is heterogeneous. The familial chylomicronemia (known as Fredrickson's classification of type 1 hyperlipoproteinemia) [DS:H00154] is a clinical condition showing the severest hypertriglyceridemia and is classically represented by two rare genetic disorders, i.e., familial lipoprotein lipase (LPL) deficiency and familial apolipoprotein C-II deficiency. Even rarer conditions such as circulating inhibitor of lipoprotein lipase and the presence of autoantibodies also cause type 1 hyperlipoproteinemia. More recently, patients with primary hyperchylomicronemia caused by mutations in the gene for glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPIHBP1) or lipase maturation factor 1 (LMF1). By contrast, the more commonly encountered polygenic chylomicronemia of adulthood, referred to as mixed dyslipidemia (known as type 5 hyperlipoproteinemia) [DS:H00157], can present later in life and is characterized by increased levels of hepatically derived triglyceride-rich lipoproteins and triglyceride-rich remnant particles together with reduced levels of HDL cholesterol.","Inherited metabolic disease; Cardiovascular disease"
